날짜,지점,강수량(mm)
2019-03-19,129,
2019-03-20,129,38.1
2019-03-21,129,0.2
2019-03-22,129,
2019-03-23,129,1.2
2019-03-24,129,
2019-03-25,129,
2019-03-26,129,
2019-03-27,129,
2019-03-28,129,0.0
2019-03-29,129,
2019-03-30,129,2.3
2019-03-31,129,
2019-04-01,129,
2019-04-02,129,
2019-04-03,129,
2019-04-04,129,
2019-04-05,129,
2019-04-06,129,
2019-04-07,129,
2019-04-08,129,
2019-04-09,129,26.4
2019-04-10,129,1.4
2019-04-11,129,
2019-04-12,129,0.0
2019-04-13,129,
2019-04-14,129,1.7
2019-04-15,129,
2019-04-16,129,
2019-04-17,129,
2019-04-18,129,
2019-04-19,129,
2019-04-20,129,0.0
2019-04-21,129,0.1
2019-04-22,129,
2019-04-23,129,4.8
2019-04-24,129,5.5
2019-04-25,129,1.8
2019-04-26,129,2.0
2019-04-27,129,
2019-04-28,129,0.2
2019-04-29,129,0.0
2019-04-30,129,
2019-05-01,129,
2019-05-02,129,
2019-05-03,129,
2019-05-04,129,
2019-05-05,129,
2019-05-06,129,0.0
2019-05-07,129,
2019-05-08,129,
2019-05-09,129,
2019-05-10,129,
2019-05-11,129,
2019-05-12,129,
2019-05-13,129,0.4
2019-05-14,129,
2019-05-15,129,
2019-05-16,129,
2019-05-17,129,
2019-05-18,129,6.2
2019-05-19,129,3.6
2019-05-20,129,2.1
2019-05-21,129,
2019-05-22,129,
2019-05-23,129,
2019-05-24,129,
2019-05-25,129,
2019-05-26,129,0.0
2019-05-27,129,7.5
2019-05-28,129,
2019-05-29,129,
2019-05-30,129,0.3
2019-05-31,129,
2019-06-01,129,
2019-06-02,129,
2019-06-03,129,
2019-06-04,129,
2019-06-05,129,
2019-06-06,129,12.4
2019-06-07,129,25.3
2019-06-08,129,
2019-06-09,129,
2019-06-10,129,13.2
2019-06-11,129,
2019-06-12,129,
2019-06-13,129,
2019-06-14,129,
2019-06-15,129,
2019-06-16,129,
2019-06-17,129,
2019-06-18,129,0.1
2019-06-19,129,
2019-06-20,129,
2019-06-21,129,
2019-06-22,129,
2019-06-23,129,
2019-06-24,129,
2019-06-25,129,
2019-06-26,129,1.6
2019-06-27,129,
2019-06-28,129,0.2
2019-06-29,129,3.5
2019-06-30,129,
2019-07-01,129,0.0
2019-07-02,129,
2019-07-03,129,
2019-07-04,129,
2019-07-05,129,
2019-07-06,129,
2019-07-07,129,0.0
